name,query,question
ATOODS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATOODS.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state reported by the AT Observatory Dome System (ATOODS)?
ATCamera,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATCamera.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the ATCamera system?
Electrometer:201,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Electrometer.logevent_summaryState"" where salIndex = 201 ORDER BY DESC LIMIT 1",What is the most recent summary state of the Electrometer with ID 201?
ATSpectrograph,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATSpectrograph.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the LSST SAL AT Spectrograph?
ATPneumatics,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATPneumatics.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the LSST SAL ATPneumatics log event?
FiberSpectrograph,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.FiberSpectrograph.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the Fiber Spectrograph?
Scheduler:2,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Scheduler.logevent_summaryState"" WHERE salIndex = 2 ORDER BY DESC LIMIT 1",What is the most recent summary state for the Scheduler with a SAL index of 2?
ATOCPS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.OCPS.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state reported by the LSST SAL OCPS log event?
Position 4  (Z),"SELECT ""position5"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the value of position5 from the PMD position table in the LSST database for timestamps between the dashboard specified start and end times?
Position 3 (Z),"SELECT ""position3"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime:",What is the value of Position 3 (Z) from the LSST PMD position data for times greater than the specified dashboard time?
Position 2 (Z-motion),"SELECT ""position2"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime:",What was the Z-motion position of the telescope's secondary mirror at times greater than the specified dashboard time?
Position 1,"SELECT ""position1"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime:","What was the position value reported by the LSST Primary Mirror Device (PMD) in the ""position1"" field since the specified dashboard time?"
Log messages,"SELECT ""level"", ""message"" FROM ""efd"".""autogen"".""lsst.sal.PMD.logevent_logMessage"" WHERE time > :dashboardTime:",What are the log levels and messages from the PMD log events that have occurred since a specific dashboard time?
Position 0,"SELECT ""position0"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime: ",What was the position data reported by the LSST SAL PMD system at Position 0 since the specified dashboard time?
Main Shutter Opening Percentage,"SELECT ""mainDoorOpeningPercentage"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the percentage of the main shutter opening for the AT Dome during the specified time range?
Dome position,"SELECT ""azimuthPosition"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the azimuth position of the AT Dome at times between the current dashboard time and one minute before the current dashboard time?
Dropout Shutter Open Percentage,"SELECT ""dropoutDoorOpeningPercentage"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" ORDER BY time DESC LIMIT 1",What is the most recent value of the dropout door opening percentage for the AT Dome position?
Dome Status,"SELECT ""inPosition"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.logevent_allAxesInPosition"" ORDER BY time DESC LIMIT 1",Is the ATDome currently in position?
Azimuth Position,"SELECT ""azimuthPosition"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" ORDER BY time DESC LIMIT 1",What is the most recent azimuth position of the AT Dome?
Main Shutter Open Percentage,"SELECT ""mainDoorOpeningPercentage"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" ORDER BY time DESC LIMIT 1",What is the current percentage of the main shutter being open for the AT Dome?
Emergency Stop,"SELECT ""active"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.logevent_emergencyStop"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",Has an emergency stop event occurred for the AT Dome within the specified time range?
CamHexapod Motor currents ,"SELECT mean(""motorCurrent0"") AS ""mean_motorCurrent0"", mean(""motorCurrent1"") AS ""mean_motorCurrent1"", mean(""motorCurrent2"") AS ""mean_motorCurrent2"", mean(""motorCurrent3"") AS ""mean_motorCurrent3"", mean(""motorCurrent4"") AS ""mean_motorCurrent4"", mean(""motorCurrent5"") AS ""mean_motorCurrent5"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex=1 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What were the average motor currents for each of the six motors on the LSST MTHexapod during the specified time range, grouped by the given interval?"
M2 Tangent Link Temperatures,"SELECT ""temperatureItem1"", ""temperatureItem2"", ""temperatureItem3"", ""temperatureItem4"", ""temperatureItem5"", ""temperatureItem6"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 106 AND time > :dashboardTime: AND time < :upperDashboardTime:","What were the values of temperatureItem1, temperatureItem2, temperatureItem3, temperatureItem4, temperatureItem5, and temperatureItem6 for the ESS (Environmental Support System) with salIndex 106 during a specific time range?"
Camera Hexapod Temperatures,"SELECT ""temperatureItem5"" as ""Strut 12 temp"", ""temperatureItem4"" as ""Strut 11 temp"", ""temperatureItem3"" as ""Strut 10 temp"", ""temperatureItem2"" as ""Strut 9 temp"", ""temperatureItem1"" as ""Strut 8 temp"", ""temperatureItem0"" as ""Strut 7 temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 1 AND time > :dashboardTime: AND time < :upperDashboardTime:","What are the temperatures of Struts 7 through 12 on the camera hexapod for the ESS instrument, limited to data collected within the specified dashboard time range?"
MTRotator Temperatures,"SELECT ""temperatureItem6"" as ""Motor 1 temp"", ""temperatureItem7"" as ""Motor 2 temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 1 AND time > :dashboardTime: AND time < :upperDashboardTime:",What were the temperatures of Motor 1 and Motor 2 in the MTRotator system within the last 24 hours?
Dome Temperature,"SELECT ""temperatureItem0"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 113 and time > :dashboardTime: AND time < :upperDashboardTime: ",What was the temperature of the dome (temperatureItem0) in the ESS system between the specified dashboard start time and end time for the SAL index 113?
Voltages,"SELECT ""gDV0"", ""oDV0"", ""oGV0"", ""rDV0"" FROM ""efd"".""autogen"".""lsst.sal.ATCamera.focal_plane_Ccd"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What were the values of gDV0, oDV0, oGV0, and rDV0 in the ATCamera focal plane CCD during a specific time range?"
Temperature,"SELECT ""temp0"" FROM ""efd"".""autogen"".""lsst.sal.ATCamera.focal_plane_Ccd"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What were the values of the ""temp0"" column in the ""lsst.sal.ATCamera.focal_plane_Ccd"" table within a specific time range, where the start time is represented by "":dashboardTime:"" and the end time is represented by "":upperDashboardTime:"", considering data from the ""efd"".""autogen"" schema?"
Untitled Graph,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean actual position of the LSST telescope's mount elevation over time, sampled at a specified interval, for the period between the current dashboard time and an upper limit time, with null values filled in where data is missing?"
Untitled Graph,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean of the ""actualPosition"" for the azimuth angle of the LSST telescope's mount over the past 24 hours, grouped by 10-minute intervals and filling any missing values with null?"
Untitled Graph,"SELECT mean(""temperature"") AS ""mean_temperature"" FROM ""efd"".""autogen"".""lsst.sal.CCCamera.vacuum_Cold2"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean temperature of the LSST SAL CCCamera vacuum Cold2 over the specified time range, grouped by the given interval and filling any null values?"
Untitled Graph,"SELECT mean(""temperature"") AS ""mean_temperature"" FROM ""efd"".""autogen"".""lsst.sal.CCCamera.vacuum_Cold1"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean temperature of the LSST SAL CCCamera vacuum Cold1 over the specified time range, grouped by the given interval and filling null values?"
M1M3 Detailed State - ,"SELECT ""detailedState"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_detailedState"" ORDER BY time DESC LIMIT 1",What is the most recent detailed state of the LSST M1M3 mirror in the EFD database?
M2 Closed Loop Status - 1: Idle. 2: Telemetry only. 3: Open-loop. 4: Closed-loop - Last 10,"SELECT ""mode"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.logevent_closedLoopControlMode"" ORDER BY time DESC LIMIT 1","What is the current status of the M2 closed loop control, showing the last 10 values?"
Azimuth Velocity,"SELECT ""actualVelocity"", ""demandVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the actual and demand velocities of the LSST observatory's mount in the azimuth direction during the specified time range?
Azimuth Position,"SELECT ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the actual and demand positions of the LSST telescope's azimuth axis for readings taken between the dashboard's specified start and end times?
Elevation Velocity,"SELECT ""actualVelocity"", ""demandVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the actual and demand velocities of the LSST telescope mount's elevation movement between the specified start and end times?
Elevation Position,"SELECT ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the actual and demanded elevation position of the LSST Mount at times between the specified dashboard start time and end time?
Elevation Motion Graph,"SELECT mean(""private_efdStamp"") AS ""mean_private_efdStamp"", mean(""private_identity"") AS ""mean_private_identity"", mean(""private_kafkaStamp"") AS ""mean_private_kafkaStamp"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.command_stop"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the average value of private_efdStamp, private_identity, and private_kafkaStamp from the efd.autogen.lsst.sal.MTMount.command_stop table for the specified time range, grouped by the given interval and filling null values?"
Azimuth Motion Table,"SELECT ""actualPosition"", ""actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the actual position and velocity values of the LSST MTMount azimuth motion for the time period between the dashboard time and the upper dashboard time?
Azimuth Motion Graph,"SELECT ""actualPosition"", ""actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What was the actual position and velocity of the LSST telescope's azimuth motion during the specified time period?
Elevation Motion Table,"SELECT ""actualVelocity"", ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the actual velocity and position values of the LSST Mount Telescope's elevation motion during the specified time range?
Bus voltages,"SELECT /busVoltage/ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:","What are the bus voltages for the LSST MTHexapod electrical system, within the specified time range, for the given SAL index?"
Motor currents,"SELECT /motorCurrent/ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",What were the motor currents of the LSST MTHexapod electrical system for the specified SAL index and within the given dashboard time range?
Pivot position,"SELECT pivotX, pivotY, pivotZ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_configuration"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:","What were the pivot position coordinates (pivotX, pivotY, pivotZ) of the LSST MTHexapod log event configuration for a specific SAL Index and timestamp range?"
"Compensation inputs: Mount AZ,EL; Rotator angle","SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What is the average actual position of the Mount AZ,EL over the last [time period], sampled every [interval], and how does it compare to the expected position based on the rotator angle?"
"Compensation inputs: Mount AZ,EL; Rotator angle","SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean actual position of the Mount AZ,EL over the past 24 hours, grouped by 1-hour intervals and filling any missing values with null?"
"Compensation inputs: Mount AZ,EL; Rotator angle","SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean actual position of the Mount AZ,EL Rotator over the specified time interval, starting from the dashboard time and ending at the upper dashboard time?"
Calibrated Actuator Position (linear encoder),"SELECT mean(calibrated0) as mean_calibrated0, mean(calibrated1) as mean_calibrated1, mean(calibrated2) as mean_calibrated2, mean(calibrated3) as mean_calibrated3, mean(calibrated4) as mean_calibrated4, mean(calibrated5) as mean_calibrated5 FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.actuators"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What were the average calibrated actuator positions (calibrated0 to calibrated5) for a specific SAL index within a given time range, sampled at a certain interval?"
Hexapod Temperatures,"SELECT ""temperatureItem5"" as ""Strut 12 temp"", ""temperatureItem4"" as ""Strut 11 temp"", ""temperatureItem3"" as ""Strut 10 temp"", ""temperatureItem2"" as ""Strut 9 temp"", ""temperatureItem1"" as ""Strut 8 temp"", ""temperatureItem0"" as ""Strut 7 temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:","What are the temperatures of Struts 7, 8, 9, 10, 11, and 12 on the hexapod within the specified time range for the given Sal Index?"
Hexapod Temperatures,"SELECT mean(avg1M) as mean_airTemperature FROM ""efd"".""autogen"".""lsst.sal.WeatherStation.airTemperature"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean air temperature recorded by the LSST weather station over the past 24 hours, with data points averaged every 15 minutes?"
MTHexapod.command_setCompensationMode,"SELECT enable FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_setCompensationMode"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 20",What is the current compensation mode of the MTHexapod for the specified SAL index?
Pivot command,"SELECT x, y, z FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_setPivot"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 20","To generate a natural language question that could lead to the provided database query, I'll analyze the key components of the query:

- Table: ""lsst.sal.MTHexapod.command_setPivot"" 
- Columns selected: x, y, z
- Condition: salIndex = :SalIndex:
- Ordering: ORDER BY DESC LIMIT 20

Based on these elements, here is a possible natural language question:

What are the most recent 20 commands sent to set the pivot point of the LSST telescope's hexapod mount, specifically the x, y and z coordinates, for a given SalIndex value?

The query is retrieving the last 20 entries from the ""command_setPivot"" table for a specific salIndex value, selecting only columns x, y, z which likely represent coordinates. The ""ORDER BY DESC LIMIT 20"" suggests fetching the most recent 20 records matching the condition.

Let me know if you need any clarification or have additional context to refine the question further."
command_stop,"SELECT private_seqNum, private_identity FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_stop"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 5","What are the most recent 5 command_stop events for a specific SAL index, including their sequence numbers and identities?"
Connected,"SELECT connected FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_connected"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 3;","What are the most recent three values of the ""connected"" status for the LSST SAL MTHexapod log event, ordered from newest to oldest, for a specific SalIndex?"
Position in w [deg],"SELECT mean(position5) as mean_w FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What is the average position of the MTHexapod's w-axis in degrees over the specified time range, sampled at the given interval?"
Position in v [deg],"SELECT mean(position4) as mean_v FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What is the average position of the LSST MTHexapod's v-axis (position4) over the specified time range, sampled at the given interval, for the provided SalIndex?"
Position in u [deg],"SELECT mean(position3) as mean_u FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What is the mean position of the LSST MTHexapod in the u-coordinate (in degrees) for SAL index "":SalIndex:"" during the specified time range, sampled at intervals of "":sampling:""?"
Position in Y [um],"SELECT mean(position1) as mean_y FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the average position value in the Y-axis (position1) for the hexapod application with the specified SAL index, within the given time range, calculated at regular intervals?"
commandableByDDS,"SELECT state FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_commandableByDDS"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 3;","What is the current state of the MTHexapod's commandability by DDS, showing the most recent three entries for the specified SalIndex?"
Position in Z [um],"SELECT mean(position2) as mean_z FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","To generate a meaningful natural language question that leads to the given database query, I need some context about what data is being queried and what insights the dashboard aims to provide. Could you please provide more details on:

1) What system or process does the ""lsst.sal.MTHexapod.application"" table represent? 

2) What does the ""position2"" column signify? Is it a position measurement along the Z-axis?

3) How is the "":SalIndex:"" parameter defined and used in this context?

4) What do the "":dashboardTime:"" and "":upperDashboardTime:"" parameters represent? Are they time range inputs for the dashboard?

5) What is the purpose of grouping by time with an interval and filling null values?

With some additional background information, I can formulate a more specific and relevant question that would require running this particular query to obtain the answer."
Position in X [um],"SELECT mean(position0) as mean_x FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What is the mean position of the MTHexapod's X-axis over the specified time range, sampled at a certain interval, for a given SAL Index?"
Script logevents,"SELECT ""salIndex"", ""level"", ""message"", ""traceback"" FROM ""efd"".""autogen"".""lsst.sal.Script.logevent_logMessage"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: AND salIndex < 200000","What are the log events with a SAL index less than 200,000 and a timestamp between the dashboard start time and end time, including the level, message, and traceback information?"
MTHexapod Heartbeat,"SELECT count(""heartbeat"") FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_heartbeat"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What is the count of heartbeat events for the specified SAL index from the MTHexapod log within the last 24 hours, grouped by the specified sampling interval?"
controllerState,"SELECT ""controllerState"", ""enabledSubstate"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_controllerState"" WHERE salIndex =:SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:","What is the controller state and enabled substate of the LSST MTHexapod log event for a specific SAL index, within a given time range on the dashboard?"
"Logevent ""inPosition""","SELECT ""inPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_inPosition"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 1000","What are the most recent 1000 instances where the MTHexapod logged an ""inPosition"" event for a specific SAL index?"
MTHexapod log messages,"SELECT ""level"", ""message"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_logMessage"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:","What were the MTHexapod log messages with their severity levels that occurred for SAL index [SalIndex] during the time period from [dashboardTime] to [upperDashboardTime]?

The question incorporates the key aspects of filtering by SAL index and time range, retrieving both the message text and its associated severity level. It's phrased in a way that would likely lead one to write this particular SQL query to obtain the requested information from the database."
MTHexapod.command_move,"SELECT mean(x) as mean_x, mean(y) as mean_y, mean(z) as mean_z, mean(u) as mean_u, mean(v) as mean_v, mean(w) as mean_w FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_move"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:  GROUP BY time(:sampling:) FILL(null)","What are the average positions and velocities of the LSST MTHexapod over the last 24 hours for a specific SAL index, sampled at 5-minute intervals?"
Actutators raw (mean),"SELECT mean(""raw0"") AS ""mean_raw0"", mean(""raw1"") AS ""mean_raw1"", mean(""raw2"") AS ""mean_raw2"", mean(""raw3"") AS ""mean_raw3"", mean(""raw4"") AS ""mean_raw4"", mean(""raw5"") AS ""mean_raw5"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.actuators"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)","What are the average values of actuators raw0 through raw5 over the past 24 hours for a specific MTHexapod SAL instance, sampled at 15-minute intervals?

The key aspects are:
- Asking specifically about the average/mean values
- Mentioning the individual columns raw0 to raw5 
- Specifying a time range of ""the past 24 hours""
- Indicating sampling at regular intervals like ""15-minute intervals""
- Filtering for a particular MTHexapod SAL instance

Let me know if you need any clarification or have additional questions!"
Raw Acutators,"SELECT mean(""raw0"") as mean_raw0, mean(""raw1"") as mean_raw1, mean(""raw2"") as mean_raw2, mean(""raw3"") as mean_raw3, mean(""raw4"") as mean_raw4, mean(""raw5"") as mean_raw5 FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.actuators"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:  GROUP BY time(:sampling:) FILL(null)","What were the average values of the six raw actuators (raw0, raw1, raw2, raw3, raw4, and raw5) for the specified SAL index, over the given time range, sampled at the chosen interval?"
Copley Drive Status,"SELECT /copleyStatusWordDrive/ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",What is the status word for the Copley drive on the LSST MTHexapod electrical system for the specified SAL index and time range between the dashboard time and upper dashboard time?
tracking speed test (elevation),"SELECT ""demandVelocity"", ""actualVelocity"", ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What was the demand velocity, actual velocity, actual position, and demand position of the LSST SAL MTMount elevation system over the past 24 hours?"
