name,query,type
Elevation Velocity,"SELECT ""actualVelocity"", ""demandVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Elevation Position,"SELECT ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Elevation Motion Graph,"SELECT mean(""private_efdStamp"") AS ""mean_private_efdStamp"", mean(""private_identity"") AS ""mean_private_identity"", mean(""private_kafkaStamp"") AS ""mean_private_kafkaStamp"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.command_stop"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Azimuth Motion Table,"SELECT ""actualPosition"", ""actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Azimuth Motion Graph,"SELECT ""actualPosition"", ""actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Elevation Motion Table,"SELECT ""actualVelocity"", ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
MTHexapod Compensation,"// CSC states
// STANDBY = 5
// OFFLINE = 4
// FAULT = 3
// ENABLED = 2
// DISABLED = 1

import ""strings""

from(bucket: ""efd/autogen"")
  |> range(start: -inf)
  |> filter(fn: (r) => r._measurement == ""lsst.sal.MTHexapod.logevent_compensationMode"")
  |> filter(fn: (r) => r._field == ""enabled"" or r._field == ""salIndex"")
  |> pivot(rowKey: [""_time""], columnKey: [""_field""], valueColumn: ""_value"")
  |> filter(fn: (r) => r.salIndex==int(v: v.SalIndex))
  |> map(fn: (r) => ({
    r with
    state:
      if r.enabled == true then ""Enabled""
      else ""Disabled"",
    })
) |> sort(desc: true)
",flux
Bus voltages,"SELECT /busVoltage/ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Motor currents,"SELECT /motorCurrent/ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Pivot position,"SELECT pivotX, pivotY, pivotZ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_configuration"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
"Compensation inputs: Mount AZ,EL; Rotator angle","SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
"Compensation inputs: Mount AZ,EL; Rotator angle","SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
"Compensation inputs: Mount AZ,EL; Rotator angle","SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Calibrated Actuator Position (linear encoder),"SELECT mean(calibrated0) as mean_calibrated0, mean(calibrated1) as mean_calibrated1, mean(calibrated2) as mean_calibrated2, mean(calibrated3) as mean_calibrated3, mean(calibrated4) as mean_calibrated4, mean(calibrated5) as mean_calibrated5 FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.actuators"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
Hexapod Temperatures,"SELECT ""temperatureItem5"" as ""Strut 12 temp"", ""temperatureItem4"" as ""Strut 11 temp"", ""temperatureItem3"" as ""Strut 10 temp"", ""temperatureItem2"" as ""Strut 9 temp"", ""temperatureItem1"" as ""Strut 8 temp"", ""temperatureItem0"" as ""Strut 7 temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Hexapod Temperatures,"SELECT mean(avg1M) as mean_airTemperature FROM ""efd"".""autogen"".""lsst.sal.WeatherStation.airTemperature"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
MTHexapod.command_setCompensationMode,"SELECT enable FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_setCompensationMode"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 20",influxql
Pivot command,"SELECT x, y, z FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_setPivot"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 20",influxql
command_stop,"SELECT private_seqNum, private_identity FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_stop"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 5",influxql
Connected,"SELECT connected FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_connected"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 3;",influxql
Position in w [deg],"SELECT mean(position5) as mean_w FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
Position in v [deg],"SELECT mean(position4) as mean_v FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
Position in u [deg],"SELECT mean(position3) as mean_u FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
Position in Y [um],"SELECT mean(position1) as mean_y FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
commandableByDDS,"SELECT state FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_commandableByDDS"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 3;",influxql
Position in Z [um],"SELECT mean(position2) as mean_z FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Position in X [um],"SELECT mean(position0) as mean_x FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.application"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
MTHexapod Summary State,"// CSC states
// STANDBY = 5
// OFFLINE = 4
// FAULT = 3
// ENABLED = 2
// DISABLED = 1

import ""strings""

from(bucket: ""efd/autogen"")
  |> range(start: -inf)
  |> filter(fn: (r) => r._measurement == ""lsst.sal.MTHexapod.logevent_summaryState"")
  |> filter(fn: (r) => r._field == ""summaryState"" or r._field == ""salIndex"")
  |> pivot(rowKey: [""_time""], columnKey: [""_field""], valueColumn: ""_value"")
  |> filter(fn: (r) => r.salIndex==int(v: v.SalIndex))
  |> map(fn: (r) => ({
    r with
    state:
      if r.summaryState == 5 then ""5 (STANDBY)""
      else if r.summaryState == 4 then ""4 (OFFLINE)""
      else if r.summaryState == 3 then ""3 (FAULT)""
      else if r.summaryState == 2 then ""2 (ENABLED)""
      else if r.summaryState == 1 then ""1 (DISABLED)""
      else ""UNKNOWN"",
    })
) |> sort(desc: true)
",flux
Script logevents,"SELECT ""salIndex"", ""level"", ""message"", ""traceback"" FROM ""efd"".""autogen"".""lsst.sal.Script.logevent_logMessage"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: AND salIndex < 200000",influxql
MTHexapod Heartbeat,"SELECT count(""heartbeat"") FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_heartbeat"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
controllerState,"SELECT ""controllerState"", ""enabledSubstate"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_controllerState"" WHERE salIndex =:SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
"Logevent ""inPosition""","SELECT ""inPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_inPosition"" WHERE salIndex = :SalIndex: ORDER BY DESC LIMIT 1000",influxql
MTHexapod log messages,"SELECT ""level"", ""message"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_logMessage"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
MTHexapod.command_move,"SELECT mean(x) as mean_x, mean(y) as mean_y, mean(z) as mean_z, mean(u) as mean_u, mean(v) as mean_v, mean(w) as mean_w FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.command_move"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:  GROUP BY time(:sampling:) FILL(null)",influxql
Actutators raw (mean),"SELECT mean(""raw0"") AS ""mean_raw0"", mean(""raw1"") AS ""mean_raw1"", mean(""raw2"") AS ""mean_raw2"", mean(""raw3"") AS ""mean_raw3"", mean(""raw4"") AS ""mean_raw4"", mean(""raw5"") AS ""mean_raw5"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.actuators"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:sampling:) FILL(null)",influxql
Raw Acutators,"SELECT mean(""raw0"") as mean_raw0, mean(""raw1"") as mean_raw1, mean(""raw2"") as mean_raw2, mean(""raw3"") as mean_raw3, mean(""raw4"") as mean_raw4, mean(""raw5"") as mean_raw5 FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.actuators"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:  GROUP BY time(:sampling:) FILL(null)",influxql
Copley Drive Status,"SELECT /copleyStatusWordDrive/ FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex = :SalIndex: AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
tracking speed test (elevation),"SELECT ""demandVelocity"", ""actualVelocity"", ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Tracking speed test,"SELECT ""actualPosition"", ""actualVelocity"", ""demandPosition"", ""demandVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
M2 Hexapod (index:2),"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_simulationMode"" WHERE salIndex = 2",influxql
MTDomeTrajectory,"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTDomeTrajectory.logevent_simulationMode""",influxql
MTAOS,"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTAOS.logevent_simulationMode""",influxql
MTDome,"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTDome.logevent_simulationMode""",influxql
M1M3,"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_simulationMode""",influxql
MTMount,"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_simulationMode""",influxql
M2,"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.logevent_simulationMode""",influxql
MTRotator,"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.logevent_simulationMode""",influxql
Camera Hexapod (index:1),"SELECT last(""mode"") AS ""last_mode"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.logevent_simulationMode"" WHERE salIndex = 1",influxql
Glycol delivered temp,"SELECT mean(""glycolTemperaturePier0001"") AS ""Glycol General Temp 0001"", mean(""glycolTemperaturePier0002"") AS ""Glycol General Temp 0002"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.generalPurposeGlycolWater"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Glycol delivered temp,"SELECT mean(""ambientTemperature"") AS ""Azimuth Floor Air Ambient Temp"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.topEndChiller"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Glycol delivered temp,"SELECT mean(""glycolTemperaturePier0101"") AS ""Cold Glycol Temp 0101"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.cooling"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Glycol delivered temp,"SELECT mean(""absoluteTemperature0"") AS ""mean_absoluteTemperature0"", mean(""absoluteTemperature1"") AS ""mean_absoluteTemperature1"", mean(""absoluteTemperature10"") AS ""mean_absoluteTemperature10"", mean(""absoluteTemperature11"") AS ""mean_absoluteTemperature11"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3TS.thermalData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
HP compressor presure,"SELECT ""breakawayPressure5"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.hardpointMonitorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
M1M3 air temp,"SELECT mean(""temperatureItem0"") AS ""M1M3 air temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 113 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Outside air temp,"SELECT mean(""temperatureItem0"") AS ""Outside air temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 301 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 temps,"SELECT mean(""temperatureItem0"") AS ""Outside air temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 301 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 temps,"SELECT mean(""temperatureItem0"") AS ""Camera air temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 111 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 temps,"SELECT mean(""temperatureItem0"") AS ""M2 air temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 112 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 temps,"SELECT mean(""temperatureItem0"") AS ""M1M3 air temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 113 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 temps,"SELECT mean(""absoluteTemperature0"") AS ""mean_absoluteTemperature0"", mean(""absoluteTemperature10"") AS ""mean_absoluteTemperature10"", mean(""absoluteTemperature20"") AS ""mean_absoluteTemperature20"", mean(""absoluteTemperature30"") AS ""mean_absoluteTemperature30"", mean(""absoluteTemperature40"") AS ""mean_absoluteTemperature40"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3TS.thermalData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Rubin - Sun Elevation,"SELECT mean(""sunAltitude"") AS ""mean_sunAltitude"", mean(""moonAltitude"") AS ""mean_moonAltitude"" FROM ""efd"".""autogen"".""lsst.sal.ATPtg.skyEnvironment"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Scheduler Validation Failures,"SELECT ""message"" FROM ""efd"".""autogen"".""lsst.sal.Scheduler.logevent_logMessage"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: and message =~ /failed validation/",influxql
